Location,Population,% of world,Date
Lesotho,2306000,0.03%,2023-07-01
Slovenia,2129052,0.03%,2024-10-01
Latvia,1853000,0.02%,2025-01-01
North Macedonia,1826247,0.02%,2023-12-31
Guinea-Bissau,1781308,0.02%,2023-07-01
Bahrain,1588670,0.02%,2024-07-01
Kosovo,1585566,0.02%,2024-04-04
Equatorial Guinea,1558160,0.02%,2022-07-01
Timor-Leste,1373024,0.02%,2024-07-01
Estonia,1369285,0.02%,2025-01-01
Trinidad and Tobago,1368333,0.02%,2024-06-30
Mauritius,1259509,0.02%,2024-07-01
Eswatini,1235549,0.02%,2024-07-01
Djibouti,1066809,0.01%,2024-05-20
Cyprus,966400,0.01%,2023-12-31
Fiji,900869,0.01%,2025-01-01
Comoros,870038,0.01%,2023-01-01
Bhutan,777224,0.010%,2024-01-01
Guyana,772975,0.009%,2021-07-01
Solomon Islands,750325,0.009%,2024-07-01
Macau(China),688300,0.008%,2024-12-31
Luxembourg,672050,0.008%,2024-01-01
Montenegro,623633,0.008%,2023-10-31
Suriname,616500,0.008%,2021-07-01
Western Sahara,590506,0.007%,2024-07-01
Malta,563443,0.007%,2023-12-31
Maldives,515132,0.006%,2022-09-13
Cape Verde,491233,0.006%,2021-06-16
Northern Cyprus,476214,0.006%,2023-12-31
Brunei,450500,0.006%,2023-07-01
Belize,410919,0.005%,2024-07-01
Bahamas,398165,0.005%,2022-04-04
Iceland,389450,0.005%,2025-01-01
Transnistria,360938,0.004%,2022-12-31
Vanuatu,321409,0.004%,2024-07-01
French Polynesia(France),279890,0.003%,2021-07-01
New Caledonia(France),268510,0.003%,2023-01-01
Barbados,267800,0.003%,2022-12-31
Abkhazia,244236,0.003%,2022-01-01
São Tomé and Príncipe,228319,0.003%,2024-07-01
Samoa,205557,0.003%,2021-11-06
Saint Lucia,184100,0.002%,2023-07-01
Curaçao(Netherlands),155826,0.002%,2023-09-02
Guam(US),153836,0.002%,2020-04-01
Seychelles,121355,0.001%,2024-06-30
Kiribati,120740,0.001%,2021-07-01
Grenada,112579,0.001%,2019-07-01
Saint Vincent and the Grenadines,110872,0.001%,2022-07-01
Aruba(Netherlands),107566,0.001%,2023-12-31
Micronesia,105754,0.001%,2021-07-01
Antigua and Barbuda,103603,0.001%,2024-01-01
Jersey(UK),103267,0.001%,2021-03-21
Tonga,100179,0.001%,2022-01-01
Andorra,87303,0.001%,2025-01-31
U.S. Virgin Islands(US),87146,0.001%,2020-04-01
Cayman Islands(UK),84738,0.001%,2023-12-31
Isle of Man(UK),84530,0.001%,2023-04-01
Dominica,67408,0.0008%,2017-12-31
Guernsey(UK),64781,0.0008%,2023-12-31
Bermuda(UK),64055,0.0008%,2021-07-01
Greenland(Denmark),56542,0.0007%,2025-01-01
South Ossetia,56520,0.0007%,2021-12-31
Faroe Islands(Denmark),54741,0.0007%,2025-02-01
Saint Kitts and Nevis,51320,0.0006%,2022-01-01
Turks and Caicos Islands(UK),50894,0.0006%,2024-07-01
American Samoa(US),49710,0.0006%,2020-04-01
Northern Mariana Islands(US),47329,0.0006%,2020-04-01
Marshall Islands,42418,0.0005%,2021-09-30
Sint Maarten(Netherlands),41349,0.0005%,2024-01-01
Liechtenstein,41232,0.0005%,2024-06-30
Monaco,38367,0.0005%,2023-12-31
Gibraltar(UK),38000,0.0005%,2022-11-14
San Marino,34045,0.0004%,2024-12-31
Saint Martin(France),32358,0.0004%,2020-01-01
British Virgin Islands(UK),31538,0.0004%,2023-07-01
Palau,16733,0.0002%,2021-07-01
Anguilla(UK),15931,0.0002%,2023-12-31
Cook Islands(New Zealand),15040,0.0002%,2021-07-01
Nauru,11680,0.0001%,2021-10-30
Wallis and Futuna(France),11620,0.0001%,2023-07-24
Tuvalu,10679,0.0001%,2021-07-01
Saint Barthélemy(France),10585,0.0001%,2020-01-01
Saint Pierre and Miquelon(France),6092,0%,2020-01-01
"Saint Helena, Ascension and Tristan da Cunha(UK)",5651,0%,2021-07-01
Montserrat(UK),4386,0%,2023-09-23
Falkland Islands(UK),3662,0%,2021-10-10
Norfolk Island(Australia),2188,0%,2021-01-01
Christmas Island(Australia),1692,0%,2021-01-01
Niue(New Zealand),1681,0%,2022-11-11
Tokelau(New Zealand),1647,0%,2019-01-01
Vatican City,882,0%,2024-12-31
Cocos (Keeling) Islands(Australia),593,0%,2020-06-30
Pitcairn Islands(UK),35,0%,2023-07-01
